0 T179.532184 R120.001000
1 T178.128832 R120.016000
2 T176.287621 R120.063000
3 T174.388988 R120.144000
4 T172.420184 R120.263000
5 T170.403832 R120.422000
6 T168.339143 R120.624000
7 T166.219282 R120.873000
8 T164.035761 R121.174000
9 T161.797616 R121.530000
10 T159.500914 R121.946000
11 T157.140225 R122.428000
12 T154.713883 R122.982000
13 T152.222594 R123.614000
14 T149.665221 R124.331000
15 T147.033618 R125.143000
16 T144.327280 R126.059000
17 T141.545618 R127.089000
18 T138.688353 R128.244000
19 T135.749258 R129.539000
20 T132.726987 R130.989000
21 T129.622095 R132.610000
22 T126.428450 R134.424000
23 T123.144290 R136.454000
24 T119.771568 R138.724000
25 T116.303640 R141.268000
26 T112.740480 R144.121000
27 T109.080984 R147.325000
28 T105.323842 R150.930000
29 T101.466661 R154.997000
30 T97.508571 R159.598000
31 T93.449911 R164.819000
32 T89.289309 R170.768000
33 T85.028072 R177.575000
34 T80.665896 R185.406000
35 T76.204693 R194.468000
36 T71.645575 R205.030000
37 T66.990974 R217.442000
38 T62.243778 R232.171000
39 T57.407445 R249.854000
40 T52.486466 R271.381000
41 T47.485457 R298.040000
42 T42.410029 R331.761000
43 T37.266393 R375.577000
44 T32.061529 R434.541000
45 T26.802902 R517.749000
46 T21.498570 R643.391000
47 T16.157036 R853.910000
48 T10.787234 R1276.631000
49 T5.398401 R2548.176000
50 T180.000000 R120.000000
